z_train_mean,z_train_std
0.009366703587999067,0.20042548907513028
0.0035007657299362697,0.2059994086783763
-0.0019069772645155475,0.21445666303090918
-0.0067005441135117106,0.22488278290546287
-0.011395838033746901,0.23615174073973694
-0.01712728723347444,0.2473808682103529
-0.02456746390001659,0.2582575560699826
-0.03378059877690346,0.26891781255555036
-0.04427510974749833,0.27966118743165913
-0.055244416379536046,0.290672303767614
-0.06586924733922227,0.30194965808472757
-0.07554741420856244,0.3133205793226826
-0.08393342549599936,0.3245596212305467
-0.09091220604434375,0.3354715050345327
-0.09652835026241169,0.3459135402509828
-0.10091081506808308,0.35581148630490883
-0.10422911675265586,0.36516800162665236
-0.10667831356454112,0.3740558400861105
-0.10846291910321401,0.38259524539356804
-0.1097387850919286,0.39089850062578313
-0.11057509810277952,0.39901622439022066
-0.1109952736419897,0.406941564079641
-0.11101504200871941,0.4146311696697335
-0.11065744288771921,0.42201998373790506
-0.10996051093239519,0.4290335621157714
-0.10898279126610438,0.4355996850043657
-0.10780651131016092,0.4416593166407255
-0.1065368797674995,0.44717586776688234
-0.10529595168094605,0.45214091194663236
-0.10421077765295943,0.45657472389339515
-0.10339777900921394,0.4605211913867951
-0.10294712759532226,0.4640383994754364
-0.10291108207522415,0.46718788825580293
-0.10329859148555652,0.4700263223530173
-0.10407618297793556,0.4726023986316105
-0.10517366664680555,0.4749594370909956
-0.10649294621950632,0.47714123832982336
-0.10791854829546521,0.4791968944177528
-0.10932877016169558,0.48118072189226285
-0.11060668760698024,0.4831465575428101
-0.11165066366056538,0.48513928701043657
-0.11238390650206914,0.4871878616587778
-0.11276197963010531,0.48930262702641203
-0.11277678266637957,0.4914773553964377
-0.1124559281265964,0.493694620824034
-0.11185734925072514,0.49593240086497176
-0.1110598932721584,0.4981697799030699
-0.11015137809126987,0.5003902181572596
-0.1092161034318603,0.502581928790528
-0.10832402725585458,0.5047361386793422
