epsilon,amplitude_accuracy,amplitude_loss
0.0,0.8543689320388349,0.6366720236863926
0.05,0.8155339805825242,0.721114709843621
0.1,0.7427184466019418,0.8166734607138885
0.15,0.5970873786407767,0.9207700424724413
0.2,0.48058252427184467,1.0293178057606513
0.25,0.39805825242718446,1.1370816438062867
0.3,0.2961165048543689,1.2381217171254617
0.35,0.16019417475728157,1.3261648070523624
0.4,0.11165048543689321,1.3949213617789649
0.45,0.06796116504854369,1.4383697915484202
0.5,0.07281553398058252,1.4497191377686212
0.55,0.07766990291262135,1.4255686179081695
0.6,0.11650485436893204,1.3792508388706461
0.65,0.25728155339805825,1.3242861609754086
0.7,0.3786407766990291,1.2679881592700761
0.75,0.49514563106796117,1.2141607779597392
0.8,0.5339805825242718,1.1645564886202864
0.85,0.5485436893203883,1.119752124657889
0.9,0.5533980582524272,1.0797040164149498
0.95,0.5679611650485437,1.044075500859854
1.0,0.587378640776699,1.0124174454523451
