epsilon,angle_accuracy,angle_loss
0.0,0.9368932038834952,0.3134017183887449
0.05,0.8932038834951457,0.37767355801939156
0.1,0.8737864077669902,0.4512446834790888
0.15,0.8640776699029126,0.5342929638297594
0.2,0.8009708737864077,0.6268519809166851
0.25,0.7330097087378641,0.7284561855956445
0.3,0.6699029126213593,0.8384812342871595
0.35,0.5825242718446602,0.9560637828658229
0.4,0.5242718446601942,1.0799093211844126
0.45,0.45145631067961167,1.208670271415254
0.5,0.38349514563106796,1.340724857477821
0.55,0.3300970873786408,1.474478261604402
0.6,0.2912621359223301,1.6081741596010428
0.65,0.22815533980582525,1.740164423860721
0.7,0.19902912621359223,1.8691100864307295
0.75,0.15048543689320387,1.993000117579904
0.8,0.11650485436893204,2.1100105464069854
0.85,0.09223300970873786,2.219107554008601
0.9,0.0825242718446602,2.3188708399792626
0.95,0.07281553398058252,2.4088996925221644
1.0,0.05825242718446602,2.48904683038285
