epsilon,reupload_accuracy,reupload_loss
0.0,1.0,0.2150764570852503
0.05,0.9951690821256038,0.29463424280254147
0.1,0.9758454106280193,0.40530921798697744
0.15,0.8985507246376812,0.5420202336533462
0.2,0.8260869565217391,0.6938942197523874
0.25,0.6811594202898551,0.8466554589145247
0.3,0.5942028985507246,0.9861034955260474
0.35,0.5700483091787439,1.0988381354412213
0.4,0.5265700483091788,1.1781261092149882
0.45,0.4927536231884058,1.2233432347334843
0.5,0.45410628019323673,1.237992149247481
0.55,0.42028985507246375,1.2275830549800142
0.6,0.42028985507246375,1.2002785860232892
0.65,0.4106280193236715,1.16357311234693
0.7,0.4396135265700483,1.1267008977339685
0.75,0.4830917874396135,1.0942339231753315
0.8,0.46859903381642515,1.0692717063680877
0.85,0.4975845410628019,1.0531518405865967
0.9,0.4830917874396135,1.0455633163238744
0.95,0.5120772946859904,1.0457143401660878
1.0,0.5458937198067633,1.0526486549608909
