epsilon,angle_accuracy,angle_loss,amplitude_accuracy,amplitude_loss,reupload_accuracy,reupload_loss
0.0,0.9368932038834952,0.3134017183887449,0.8543689320388349,0.6366720236863926,1.0,0.2150764570852503
0.05,0.8932038834951457,0.37767355801939156,0.8155339805825242,0.721114709843621,0.9951690821256038,0.29463424280254147
0.1,0.8737864077669902,0.4512446834790888,0.7427184466019418,0.8166734607138885,0.9758454106280193,0.40530921798697744
0.15,0.8640776699029126,0.5342929638297594,0.5970873786407767,0.9207700424724413,0.8985507246376812,0.5420202336533462
0.2,0.8009708737864077,0.6268519809166851,0.48058252427184467,1.0293178057606513,0.8260869565217391,0.6938942197523874
0.25,0.7330097087378641,0.7284561855956445,0.39805825242718446,1.1370816438062867,0.6811594202898551,0.8466554589145247
0.3,0.6699029126213593,0.8384812342871595,0.2961165048543689,1.2381217171254617,0.5942028985507246,0.9861034955260474
0.35,0.5825242718446602,0.9560637828658229,0.16019417475728157,1.3261648070523624,0.5700483091787439,1.0988381354412213
0.4,0.5242718446601942,1.0799093211844126,0.11165048543689321,1.3949213617789649,0.5265700483091788,1.1781261092149882
0.45,0.45145631067961167,1.208670271415254,0.06796116504854369,1.4383697915484202,0.4927536231884058,1.2233432347334843
0.5,0.38349514563106796,1.340724857477821,0.07281553398058252,1.4497191377686212,0.45410628019323673,1.237992149247481
0.55,0.3300970873786408,1.474478261604402,0.07766990291262135,1.4255686179081695,0.42028985507246375,1.2275830549800142
0.6,0.2912621359223301,1.6081741596010428,0.11650485436893204,1.3792508388706461,0.42028985507246375,1.2002785860232892
0.65,0.22815533980582525,1.740164423860721,0.25728155339805825,1.3242861609754086,0.4106280193236715,1.16357311234693
0.7,0.19902912621359223,1.8691100864307295,0.3786407766990291,1.2679881592700761,0.4396135265700483,1.1267008977339685
0.75,0.15048543689320387,1.993000117579904,0.49514563106796117,1.2141607779597392,0.4830917874396135,1.0942339231753315
0.8,0.11650485436893204,2.1100105464069854,0.5339805825242718,1.1645564886202864,0.46859903381642515,1.0692717063680877
0.85,0.09223300970873786,2.219107554008601,0.5485436893203883,1.119752124657889,0.4975845410628019,1.0531518405865967
0.9,0.0825242718446602,2.3188708399792626,0.5533980582524272,1.0797040164149498,0.4830917874396135,1.0455633163238744
0.95,0.07281553398058252,2.4088996925221644,0.5679611650485437,1.044075500859854,0.5120772946859904,1.0457143401660878
1.0,0.05825242718446602,2.48904683038285,0.587378640776699,1.0124174454523451,0.5458937198067633,1.0526486549608909
