epsilon,angle_accuracy,angle_loss
0.0,0.9563106796116505,0.30930014529155453
0.05,0.8980582524271845,0.37839074861393013
0.1,0.883495145631068,0.45827710615894746
0.15,0.883495145631068,0.4582771061589475
0.2,0.883495145631068,0.4582771061589475
0.25,0.883495145631068,0.4582771061589475
0.3,0.883495145631068,0.4582771061589475
0.35,0.883495145631068,0.4582771061589475
0.4,0.883495145631068,0.4582771061589475
0.45,0.883495145631068,0.4582771061589475
0.5,0.883495145631068,0.4582771061589475
0.55,0.883495145631068,0.4582771061589475
0.6,0.883495145631068,0.4582771061589475
0.65,0.883495145631068,0.4582771061589475
0.7,0.883495145631068,0.4582771061589475
0.75,0.883495145631068,0.4582771061589475
0.8,0.883495145631068,0.4582771061589475
0.85,0.883495145631068,0.4582771061589475
0.9,0.883495145631068,0.4582771061589475
0.95,0.883495145631068,0.4582771061589475
1.0,0.883495145631068,0.4582771061589475
