epsilon,reupload_accuracy,reupload_loss
0.0,1.0,0.268017562825287
0.05,0.9951690821256038,0.3568165204863368
0.1,0.9710144927536232,0.4809749007007556
0.15,0.9710144927536232,0.48097490070075566
0.2,0.9710144927536232,0.48097490070075566
0.25,0.9710144927536232,0.48097490070075566
0.3,0.9710144927536232,0.48097490070075566
0.35,0.9710144927536232,0.48097490070075566
0.4,0.9710144927536232,0.48097490070075566
0.45,0.9710144927536232,0.48097490070075566
0.5,0.9710144927536232,0.48097490070075566
0.55,0.9710144927536232,0.48097490070075566
0.6,0.9710144927536232,0.48097490070075566
0.65,0.9710144927536232,0.48097490070075566
0.7,0.9710144927536232,0.48097490070075566
0.75,0.9710144927536232,0.48097490070075566
0.8,0.9710144927536232,0.48097490070075566
0.85,0.9710144927536232,0.48097490070075566
0.9,0.9710144927536232,0.48097490070075566
0.95,0.9710144927536232,0.48097490070075566
1.0,0.9710144927536232,0.48097490070075566
