epsilon,amplitude_accuracy,amplitude_loss
0.0,0.8446601941747572,0.6192908923989876
0.05,0.8106796116504854,0.7168568152165904
0.1,0.7427184466019418,0.8082555840394094
0.15,0.7233009708737864,0.821447626849749
0.2,0.7233009708737864,0.821447626849749
0.25,0.7233009708737864,0.821447626849749
0.3,0.7233009708737864,0.821447626849749
0.35,0.7233009708737864,0.821447626849749
0.4,0.7233009708737864,0.821447626849749
0.45,0.7233009708737864,0.821447626849749
0.5,0.7233009708737864,0.821447626849749
0.55,0.7233009708737864,0.821447626849749
0.6,0.7233009708737864,0.821447626849749
0.65,0.7233009708737864,0.821447626849749
0.7,0.7233009708737864,0.821447626849749
0.75,0.7233009708737864,0.821447626849749
0.8,0.7233009708737864,0.821447626849749
0.85,0.7233009708737864,0.821447626849749
0.9,0.7233009708737864,0.821447626849749
0.95,0.7233009708737864,0.821447626849749
1.0,0.7233009708737864,0.821447626849749
