epsilon,angle_accuracy,angle_loss,amplitude_accuracy,amplitude_loss,reupload_accuracy,reupload_loss
0.0,0.9660194174757282,0.3036804799063618,0.8932038834951457,0.5126786436533189,0.966183574879227,0.3454103537594439
0.05,0.9077669902912622,0.37513559214940306,0.7524271844660194,0.7109820430677962,0.9130434782608695,0.4538657835981399
0.1,0.8883495145631068,0.4582454271823989,0.5533980582524272,0.9561612583723922,0.8840579710144928,0.5900183057422854
0.15,0.8640776699029126,0.5532720020034292,0.39805825242718446,1.2427136547508726,0.7874396135265701,0.7421301683241217
0.2,0.8058252427184466,0.66023392842517,0.2669902912621359,1.5588398463433308,0.6714975845410628,0.8922556238189687
0.25,0.7233009708737864,0.7781478142654473,0.13592233009708737,1.887198623949687,0.5555555555555556,1.0232471710173885
0.3,0.6359223300970874,0.9060357058339458,0.06310679611650485,2.206189092052837,0.5120772946859904,1.1239808869059504
0.35,0.5145631067961165,1.042825084948013,0.02912621359223301,2.491281727732162,0.45410628019323673,1.191844527536494
0.4,0.4174757281553398,1.186614471354782,0.009708737864077669,2.717261271720434,0.45893719806763283,1.2303052057037938
0.45,0.3592233009708738,1.3357276573450199,0.009708737864077669,2.863758350096362,0.4492753623188406,1.24613698179799
0.5,0.3106796116504854,1.4877972419679717,0.009708737864077669,2.924393092720377,0.4396135265700483,1.2468665585224035
0.55,0.22815533980582525,1.6403354427120966,0.014563106796116505,2.911654503033844,0.43478260869565216,1.239105455271958
0.6,0.18932038834951456,1.790759604898224,0.014563106796116505,2.8491070784515022,0.41545893719806765,1.2284013062930963
0.65,0.1262135922330097,1.9364442756962537,0.014563106796116505,2.7590956667790647,0.41545893719806765,1.2157699710583956
0.7,0.09223300970873786,2.075803061224019,0.014563106796116505,2.6572218756026964,0.391304347826087,1.2009305751040882
0.75,0.06796116504854369,2.205783499155903,0.019417475728155338,2.5528095231242007,0.37681159420289856,1.1834757223366925
0.8,0.038834951456310676,2.3240409738740704,0.019417475728155338,2.4509516079184372,0.3864734299516908,1.164536436598707
0.85,0.02912621359223301,2.429274789983323,0.019417475728155338,2.3542090341387976,0.38164251207729466,1.1454101651998345
0.9,0.014563106796116505,2.51952605749091,0.043689320388349516,2.263700085654686,0.391304347826087,1.1292244528569682
0.95,0.014563106796116505,2.593668476366074,0.05825242718446602,2.179743793231505,0.4106280193236715,1.1170622988975512
1.0,0.014563106796116505,2.6526457688450478,0.07281553398058252,2.1022295653862604,0.40096618357487923,1.109363812034483
