epsilon,angle_accuracy,angle_loss
0.0,0.9660194174757282,0.3036804799063618
0.05,0.9077669902912622,0.37513559214940306
0.1,0.8883495145631068,0.4582454271823989
0.15,0.8640776699029126,0.5532720020034292
0.2,0.8058252427184466,0.66023392842517
0.25,0.7233009708737864,0.7781478142654473
0.3,0.6359223300970874,0.9060357058339458
0.35,0.5145631067961165,1.042825084948013
0.4,0.4174757281553398,1.186614471354782
0.45,0.3592233009708738,1.3357276573450199
0.5,0.3106796116504854,1.4877972419679717
0.55,0.22815533980582525,1.6403354427120966
0.6,0.18932038834951456,1.790759604898224
0.65,0.1262135922330097,1.9364442756962537
0.7,0.09223300970873786,2.075803061224019
0.75,0.06796116504854369,2.205783499155903
0.8,0.038834951456310676,2.3240409738740704
0.85,0.02912621359223301,2.429274789983323
0.9,0.014563106796116505,2.51952605749091
0.95,0.014563106796116505,2.593668476366074
1.0,0.014563106796116505,2.6526457688450478
