epsilon,amplitude_accuracy,amplitude_loss
0.0,0.8932038834951457,0.5126786436533189
0.05,0.7524271844660194,0.7109820430677962
0.1,0.5533980582524272,0.9561612583723922
0.15,0.39805825242718446,1.2427136547508726
0.2,0.2669902912621359,1.5588398463433308
0.25,0.13592233009708737,1.887198623949687
0.3,0.06310679611650485,2.206189092052837
0.35,0.02912621359223301,2.491281727732162
0.4,0.009708737864077669,2.717261271720434
0.45,0.009708737864077669,2.863758350096362
0.5,0.009708737864077669,2.924393092720377
0.55,0.014563106796116505,2.911654503033844
0.6,0.014563106796116505,2.8491070784515022
0.65,0.014563106796116505,2.7590956667790647
0.7,0.014563106796116505,2.6572218756026964
0.75,0.019417475728155338,2.5528095231242007
0.8,0.019417475728155338,2.4509516079184372
0.85,0.019417475728155338,2.3542090341387976
0.9,0.043689320388349516,2.263700085654686
0.95,0.05825242718446602,2.179743793231505
1.0,0.07281553398058252,2.1022295653862604
